data_referencia,data_captura,indice,descricao,valor
2020-09-29,2020-09-29,selic_estimativa_anbima,29/09/2020,1.90
2020-09-29,2020-09-29,selic,29/09/2020,1.90
2020-09-29,2020-09-29,cdi,29/09/2020,1.90
2020-09-29,2020-09-29,igpm_numero_indice,Número Índice,868.442
2020-09-29,2020-09-29,igpm_variacao_percentual_mes,Var % no mês,4.34
2020-09-29,2020-09-29,igpm_projecao_anbima,Projeção (out/20),1.84
2020-09-29,2020-09-29,ipca_numero_indice,Número Índice,5357.46
2020-09-29,2020-09-29,ipca_variacao_percentual_mes,Var % no mês,0.24
2020-09-29,2020-09-29,ipca_projecao_anbima,Projeção (set/20),0.49
2020-09-29,2020-09-29,dolar_comercial_compra,29/09/2020,5.6521
2020-09-29,2020-09-29,,29/09/2020,5.6528
2020-09-29,2020-09-29,euro_compra,29/09/2020,6.6220
2020-09-29,2020-09-29,euro_venda,29/09/2020,6.6234
2020-09-28,2020-09-29,tr,28/09/2020,0.0000
2020-09-28,2020-09-29,tbf,28/09/2020,0.1485
2020-09-29,2020-09-29,fds,29/09/2020,0.070898
2020-09-28,2020-09-29,fds,28/09/2020,0.070907
